Start Date-Time,Type,Organization Event: Event Name,Confirmed Registrants,Confirmed Including Guests,Cancelled,Attended
02/24/2020 9:00,Undergraduate,Nursing Simulation Lab Tour,6,15,2,5
02/24/2020 9:30,Undergraduate,Gorham Campus Tour and Information Session,3,11,1,2
02/24/2020 13:00,Undergraduate,Portland Campus Tour,9,30,0,8
02/25/2020 9:30,Undergraduate,Portland Campus Tour and Information Session,2,7,2,2
02/26/2020 9:30,Undergraduate,Gorham Campus Tour and Information Session,7,19,0,7
02/27/2020 9:30,Undergraduate,Portland Campus Tour and Information Session,6,23,1,6
02/28/2020 9:30,Undergraduate,Portland Campus Tour and Information Session,16,49,1,12
02/28/2020 13:00,Undergraduate,Gorham Campus Tour,14,38,2,10
03/02/2020 9:30,Undergraduate,Gorham Campus Tour and Information Session,2,4,3,2
03/02/2020 13:00,Undergraduate,Portland Campus Tour,1,3,3,1
03/03/2020 9:30,Undergraduate,Portland Campus Tour and Information Session,1,3,2,1
03/04/2020 9:30,Undergraduate,Gorham Campus Tour and Information Session,1,3,0,1
03/05/2020 9:30,Undergraduate,Portland Campus Tour and Information Session,5,11,3,3
03/05/2020 12:00,Undergraduate,Lewiston Campus Tour,1,1,0,1
03/06/2020 9:30,Undergraduate,Portland Campus Tour and Information Session,10,28,0,9
03/06/2020 13:00,Undergraduate,Gorham Campus Tour,7,21,1,6
03/09/2020 9:30,Undergraduate,Gorham Campus Tour and Information Session,10,36,1,10
03/09/2020 13:00,Undergraduate,Nursing Simulation Lab Tour,8,21,3,8
03/09/2020 13:00,Undergraduate,Portland Campus Tour,2,8,1,1
03/10/2020 9:30,Undergraduate,Portland Campus Tour and Information Session,7,22,1,7
03/11/2020 9:30,Undergraduate,Gorham Campus Tour and Information Session,3,8,0,2
03/12/2020 9:30,Undergraduate,Portland Campus Tour and Information Session,2,6,1,0
03/13/2020 9:30,Undergraduate,Portland Campus Tour and Information Session,8,22,1,7
03/13/2020 13:00,Undergraduate,Gorham Campus Tour,10,26,5,7
03/16/2020 9:30,Undergraduate,Gorham Campus Tour and Information Session,5,17,2,0
03/16/2020 13:00,Undergraduate,Portland Campus Tour,4,14,0,0
03/17/2020 9:30,Undergraduate,Portland Campus Tour and Information Session,2,9,0,0
03/18/2020 9:30,Undergraduate,Gorham Campus Tour and Information Session,1,3,0,0
03/19/2020 9:30,Undergraduate,Portland Campus Tour and Information Session,0,0,0,0
03/20/2020 9:30,Undergraduate,Portland Campus Tour and Information Session,6,15,0,0
03/20/2020 13:00,Undergraduate,Gorham Campus Tour,9,25,0,0
03/23/2020 9:00,Undergraduate,Nursing Simulation Lab Tour,3,9,0,0
03/23/2020 9:30,Undergraduate,Gorham Campus Tour and Information Session,4,12,1,0
03/23/2020 13:00,Undergraduate,Portland Campus Tour,4,14,1,0
03/24/2020 9:30,Undergraduate,Portland Campus Tour and Information Session,0,0,0,0
03/25/2020 9:30,Undergraduate,Gorham Campus Tour and Information Session,0,0,0,0
03/26/2020 9:30,Undergraduate,Portland Campus Tour and Information Session,0,0,0,0
03/27/2020 9:30,Undergraduate,Portland Campus Tour and Information Session,4,15,0,0
03/27/2020 13:00,Undergraduate,Gorham Campus Tour,2,9,0,0
