Quarter,AdSet,Ad,Vendor,Impressions,CTR,UPV,BR,Av_TOP,Cost,Start_Date,End_Date
FY19Q2,FA19_IC_WA_IG_DISP,WA_IG_DISP,IG_DISP,42287,0.0068,119,0.9744, 00:03:10.0,632.36,Nov-18,Jan-19
FY19Q2,FA19_ST_WA_FB_DISP,WA_FB_DISP,FB_DISP,164118,0.0078,1059,0.9244, 00:01:50.0,700.23,Oct-18,Mar-20
FY19Q2,FA19_TR_CU_FB_DISP,CU_FB_DISP,FB_DISP,228025,0.0058,591,0.933, 00:02:15.0,1402.2,Aug-18,Aug-19
FY19Q2,FA19_TR_CU_FB_VID,CU_FB_VID,FB_VID,97645,0.006,157,0.9226, 00:01:55.0,620.95,Aug-18,Jul-19
FY19Q2,FA19_TR_CU_GM_TEXT,CU_GM_TEXT,GM_TEXT,18886,0.0767,62,0.6129, 00:00:55.0,942.81,Oct-18,Aug-19
FY19Q2,FA19_TR_CU_IG_DISP,CU_IG_DISP,IG_DISP,32359,0.0029,33,0.9583, 00:00:35.0,169.21,Aug-18,Jul-19
FY19Q2,FA19_TR_CU_IG_VID,CU_IG_VID,IG_VID,102026,0.0035,78,0.9872, 00:00:05.0,904.21,Aug-18,Jul-19
FY19Q2,FA19_TR_CU_SC_VID,CU_SC_VID,SC_VID,341157,0.0121,0,NaN%,NA,999.98,Oct-18,May-20
FY19Q2,FA19_UG_HS_FB_DISP,HS_FB_DISP,FB_DISP,315792,0.0034,432,0.9336, 00:02:45.0,720.96,Aug-18,May-19
FY19Q2,FA19_UG_HS_FB_VID,HS_FB_VID,FB_VID,65498,0.0056,88,0.9091, 00:00:10.0,299.76,Aug-18,Jan-19
FY19Q2,FA19_UG_HS_IG_DISP,HS_IG_DISP,IG_DISP,43043,0.0022,13,1,NA,195.41,Aug-18,Feb-19
FY19Q2,FA19_UG_HS_IG_VID,HS_IG_VID,IG_VID,154802,0.002,45,0.8421, 00:00:35.0,619.58,Aug-18,Jun-19
FY19Q2,FA19_UG_HS_PIN_DISP,HS_PIN_DISP,PIN_DISP,241825,0.0025,101,0.9286, 00:04:05.0,1060.63,Sep-18,Jan-19
FY19Q2,FA19_UG_HS_SC_VID,HS_SC_VID,SC_VID,131235,0.0091,196,0.9792, 00:00:40.0,212.83,Aug-18,May-20
FY19Q2,FA19_UG_IN_PIN_DISP,IN_PIN_DISP,PIN_DISP,208289,0.003,229,0.8534, 00:01:15.0,1059.65,Sep-18,Jan-20
FY19Q2,FA19_UG_TL_DBM_DISP,TL_DBM_DISP,DBM_DISP,1117597,0.0017,882,0.9459, 00:03:10.0,6540.57,Sep-18,Ongoing
FY19Q2,FA19_UG_TL_FB_DISP,TL_FB_DISP,FB_DISP,408329,0.0068,1385,0.9325, 00:01:50.0,970.6,Aug-18,Dec-19
FY19Q2,FA19_UG_TL_FB_VID,TL_FB_VID,FB_VID,35106,0.0075,163,0.8831, 00:01:40.0,179.4,Sep-18,Nov-18
FY19Q2,FA19_UG_TL_IG_DISP,TL_IG_DISP,IG_DISP,178927,0.0016,81,0.9747, 00:00:35.0,684.11,Aug-18,Nov-18
FY19Q2,FA19_UG_TL_IG_VID,TL_IG_VID,IG_VID,207488,0.0016,101,0.9688, 00:00:15.0,665.7,Sep-18,Nov-18
FY19Q2,FA19_UG_TL_SC_VID,TL_SC_VID,SC_VID,644348,0.0123,1266,0.9752, 00:00:35.0,1064.56,Sep-18,May-20
FY19Q2,FA19_UNI_ALL_BDN_DISP,ALL_BDN_DISP,BDN_DISP,230315,0.001,165,0.9565, 00:02:00.0,2072.34,Aug-18,Oct-19
FY19Q2,FA19_UNI_ALL_BDN_VID,ALL_BDN_VID,BDN_VID,40169,0.0506,1306,0.9129, 00:01:20.0,1409.52,Aug-18,Mar-19
FY19Q2,FA19_UNI_ALL_DBM_AUD,ALL_DBM_AUD,DBM_AUD,1035350,0,13,0.8333, 00:00:15.0,24654.62,Sep-18,Jan-19
FY19Q2,FA19_UNI_ALL_DBM_DISP,ALL_DBM_DISP,DBM_DISP,2178079,0.0006,1305,0.957, 00:01:50.0,9666.22,Aug-18,Jun-20
FY19Q2,FA19_UNI_ALL_DBM_VID,ALL_DBM_VID,DBM_VID,187156,0.0023,217,0.8579, 00:01:25.0,3156.21,Aug-18,Jul-19
FY19Q2,FA19_UNI_ALL_HU_VID,ALL_HU_VID,HU_VID,950083,0.0006,381,0.897, 00:01:50.0,33124.02,Aug-18,Apr-19
FY19Q2,FA19_UNI_ALL_PPH_DISP,ALL_PPH_DISP,PPH_DISP,187512,0.0017,205,0.9502, 00:01:05.0,1875.12,Aug-18,Jul-19
FY19Q2,FA19_UNI_ALL_SJ_DISP,ALL_SJ_DISP,SJ_DISP,255086,0.0024,423,0.9259, 00:01:35.0,2168.27,Aug-18,Ongoing
FY19Q2,FA19_UNI_ALL_SPO_AUD,ALL_SPO_AUD,SPO_AUD,697605,0.0009,158,0.8682, 00:00:30.0,0,Aug-18,Jan-19
FY19Q2,FA19_UNI_ALL_YT_VID,ALL_YT_VID,YT_VID,96733,0.001,59,0.8, 00:00:35.0,1972.75,Aug-18,Jul-19
FY19Q2,FA19_UNI_CU_YT_VID,CU_YT_VID,YT_VID,30,0,0,NaN%,NA,0.48,Aug-18,Jul-19
FY19Q2,FA19_UNI_HS_YT_VID,HS_YT_VID,YT_VID,211,0,0,NaN%,NA,4.1,Aug-18,Jul-19
FY19Q2,FA19_UNI_WA_YT_VID,WA_YT_VID,YT_VID,4,0,1,1,NA,0.1,Aug-18,Jun-19
FY19Q2,SP19_CLR_ALL_FB_DISP,ALL_FB_DISP,FB_DISP,154756,0.0028,130,0.9685, 00:00:10.0,569.28,Dec-18,May-19
FY19Q2,SP19_GR_WA_FB_DISP,WA_FB_DISP,FB_DISP,153876,0.007,923,0.7793, 00:02:15.0,502.08,Sep-18,Mar-19
FY19Q2,SP19_ST_WA_FB_DISP,WA_FB_DISP,FB_DISP,191536,0.0033,464,0.9181, 00:02:00.0,1065.08,Nov-18,Jul-19
FY19Q3,FA19_DC_WA_FB_DISP,WA_FB_DISP,FB_DISP,56343,0.0126,121,0.8785, 00:01:55.0,524.61,Aug-18,Aug-19
FY19Q3,FA19_DC_WA_FB_VID,WA_FB_VID,FB_VID,149397,0.0112,412,0.8856, 00:01:20.0,1149.12,Sep-18,Jul-19
FY19Q3,FA19_DC_WA_IG_DISP,WA_IG_DISP,IG_DISP,24208,0.0064,56,0.9608, 00:00:25.0,221.18,Aug-18,Jul-19
FY19Q3,FA19_DC_WA_IG_VID,WA_IG_VID,IG_VID,35394,0.0084,73,0.9589, 00:00:05.0,391.75,Sep-18,Jul-19
FY19Q3,FA19_DC_WA_PIN_DISP,WA_PIN_DISP,PIN_DISP,172332,0.0032,267,0.9402, 00:00:55.0,822.64,Sep-18,Dec-19
FY19Q3,FA19_GR_CU_FB_DISP,CU_FB_DISP,FB_DISP,555761,0.0012,273,0.9614, 00:02:35.0,896.81,Aug-18,May-19
FY19Q3,FA19_GR_CU_FB_VID,CU_FB_VID,FB_VID,165530,0.0035,111,0.9545, 00:00:10.0,830.47,Sep-18,Jul-19
FY19Q3,FA19_GR_CU_IG_DISP,CU_IG_DISP,IG_DISP,83186,0.0025,35,1,NA,674.14,Aug-18,Apr-19
FY19Q3,FA19_GR_CU_IG_VID,CU_IG_VID,IG_VID,49351,0.0022,24,0.9048, 00:01:05.0,387.95,Sep-18,Apr-19
FY19Q3,FA19_GR_WA_FB_DISP,WA_FB_DISP,FB_DISP,133209,0.0098,842,0.9066, 00:01:50.0,985.46,Aug-18,Dec-19
FY19Q3,FA19_GR_WA_FB_VID,WA_FB_VID,FB_VID,68366,0.0171,595,0.8593, 00:02:40.0,739.19,Sep-18,Jun-20
FY19Q3,FA19_GR_WA_IG_DISP,WA_IG_DISP,IG_DISP,52713,0.0052,108,0.9709, 00:00:45.0,543.43,Aug-18,Apr-19
FY19Q3,FA19_GR_WA_IG_VID,WA_IG_VID,IG_VID,42360,0.0096,90,0.9651, 00:00:15.0,598.42,Sep-18,Apr-19
FY19Q3,FA19_IC_WA_FB_DISP,WA_FB_DISP,FB_DISP,120652,0.0098,289,0.8947, 00:01:00.0,759.84,Nov-18,Apr-19
FY19Q3,FA19_IC_WA_IG_DISP,WA_IG_DISP,IG_DISP,33346,0.0055,54,1,NA,292.01,Nov-18,Jan-19
FY19Q3,FA19_TR_CU_FB_DISP,CU_FB_DISP,FB_DISP,4964,0.0105,5,0.8, 00:19:35.0,34.68,Aug-18,Aug-19
FY19Q3,FA19_TR_CU_FB_VID,CU_FB_VID,FB_VID,2090,0.0053,2,0, 00:02:25.0,6.81,Aug-18,Jul-19
FY19Q3,FA19_TR_CU_IG_DISP,CU_IG_DISP,IG_DISP,1551,0.0019,0,NaN%,NA,3.46,Aug-18,Jul-19
FY19Q3,FA19_TR_CU_IG_VID,CU_IG_VID,IG_VID,6146,0.0028,3,1,NA,25.89,Aug-18,Jul-19
FY19Q3,FA19_UG_HS_FB_DISP,HS_FB_DISP,FB_DISP,54832,0.0037,20,1,NA,168.46,Aug-18,May-19
FY19Q3,FA19_UG_HS_FB_VID,HS_FB_VID,FB_VID,32563,0.0045,19,0.9444, 00:01:15.0,164.47,Aug-18,Jan-19
FY19Q3,FA19_UG_HS_IG_DISP,HS_IG_DISP,IG_DISP,27029,0.0027,12,0.9091, 00:01:15.0,85.74,Aug-18,Feb-19
FY19Q3,FA19_UG_HS_IG_VID,HS_IG_VID,IG_VID,95569,0.0017,17,0.9375, 00:00:40.0,307.33,Aug-18,Jun-19
FY19Q3,FA19_UG_HS_PIN_DISP,HS_PIN_DISP,PIN_DISP,25208,0.0025,27,0.9615, 00:00:35.0,99.4,Sep-18,Jan-19
FY19Q3,FA19_UG_IN_PIN_DISP,IN_PIN_DISP,PIN_DISP,179161,0.0029,289,0.8498, 00:01:05.0,833.47,Sep-18,Jan-20
FY19Q3,FA19_UNI_ALL_BDN_DISP,ALL_BDN_DISP,BDN_DISP,260504,0.0012,210,0.9458, 00:01:10.0,2569.91,Aug-18,Oct-19
FY19Q3,FA19_UNI_ALL_BDN_VID,ALL_BDN_VID,BDN_VID,25811,0.0623,969,0.9144, 00:01:10.0,1031.94,Aug-18,Mar-19
FY19Q3,FA19_UNI_ALL_DBM_AUD,ALL_DBM_AUD,DBM_AUD,2,0,0,NaN%,NA,0.04,Sep-18,Jan-19
FY19Q3,FA19_UNI_ALL_DBM_DISP,ALL_DBM_DISP,DBM_DISP,1913867,0.0007,1321,0.9302, 00:02:20.0,9902.7,Aug-18,Jun-20
FY19Q3,FA19_UNI_ALL_DBM_VID,ALL_DBM_VID,DBM_VID,179028,0.0066,529,0.75, 00:01:35.0,3726.52,Aug-18,Jul-19
FY19Q3,FA19_UNI_ALL_PPH_DISP,ALL_PPH_DISP,PPH_DISP,187683,0.0022,270,0.94, 00:01:50.0,1877.14,Aug-18,Jul-19
FY19Q3,FA19_UNI_ALL_SJ_DISP,ALL_SJ_DISP,SJ_DISP,247868,0.0021,299,0.8947, 00:04:20.0,2106.99,Aug-18,Ongoing
FY19Q3,FA19_UNI_ALL_SPO_AUD,ALL_SPO_AUD,SPO_AUD,4,0.25,1,1,NA,0,Aug-18,Jan-19
FY19Q3,FA19_UNI_ALL_YT_VID,ALL_YT_VID,YT_VID,148982,0.0008,95,0.914, 00:02:35.0,2229.33,Aug-18,Jul-19
FY19Q3,FA19_UNI_CU_YT_VID,CU_YT_VID,YT_VID,40,0,3,1,NA,1.92,Aug-18,Jul-19
FY19Q3,FA19_UNI_HS_YT_VID,HS_YT_VID,YT_VID,90,0,2,1,NA,1.75,Aug-18,Jul-19
FY19Q3,FA19_UNI_WA_YT_VID,WA_YT_VID,YT_VID,8,0,4,1,NA,0.12,Aug-18,Jun-19
FY19Q3,FA20_MPH_ALL_DBM_DISP,ALL_DBM_DISP,DBM_DISP,62942,0.0009,116,0.9655, 00:00:00.0,686.61,Feb-19,Jun-20
