"Quarter","AdSet","Ad","Vendor","Impressions","CTR","UPV","BR","Av_TOP","Cost","Start_Date","End_Date"
NA,"FA21_CGCY_ALL_FB_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","04-2020","Ongoing"
NA,"FA21_CGCY_ALL_IG_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","04-2020","06-2020"
NA,"FA21_CGCY_ALL_LI_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","04-2020","Ongoing"
NA,"FA21_DC_WA_DBM_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","02-2020","Ongoing"
NA,"FA21_DC_WA_FB_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","02-2020","Ongoing"
NA,"FA21_DC_WA_GM_TEXT",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","02-2020","06-2020"
NA,"FA21_DC_WA_IG_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","02-2020","Ongoing"
NA,"FA21_DC_WA_LI_TEXT",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","02-2020","Ongoing"
NA,"FA21_DC_WAR_DBM_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","07-2020","Ongoing"
NA,"FA21_GR_ALL_DBM_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","02-2020","Ongoing"
NA,"FA21_GR_ALL_FB_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","02-2020","Ongoing"
NA,"FA21_GR_ALL_IG_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","02-2020","Ongoing"
NA,"FA21_GR_ALL_LI_TEXT",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","02-2020","Ongoing"
NA,"FA21_GR_ALLR_DBM_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","07-2020","Ongoing"
NA,"FA21_TR_CU_DBM_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","02-2020","Ongoing"
NA,"FA21_TR_CU_FB_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","05-2020","Ongoing"
