"Quarter","AdSet","Ad","Vendor","Impressions","CTR","UPV","BR","Av_TOP","Cost","Start_Date","End_Date"
"NAQNA","FA20_POL_ALL_FB_DISP_IG","ALL_FB_DISP","FB_DISP","724,013","0.25%","NA","NA%",NA,"$ 2228.86",NA,NA
"NAQNA","FA20_POL_ALL_LI_DISP_IG","ALL_LI_DISP","LI_DISP","30,980","0.57%","NA","NA%",NA,"$ 897.92",NA,NA
"NAQNA","FA20_POL_ALL_LI_TEXT_IG","ALL_LI_TEXT","LI_TEXT","22,397","0.57%","NA","NA%",NA,"$ 702.83",NA,NA
"NAQNA","FA20_TR_CU_DBM_DISP_IG","CU_DBM_DISP","DBM_DISP","1,341,581","0.08%","NA","NA%",NA,"$ 12522.27",NA,NA
"NAQNA","FA20_TR_CU_FB_DISP_IG","CU_FB_DISP","FB_DISP","172,831","0.42%","NA","NA%",NA,"$ 377.59",NA,NA
"NAQNA","FA20_TR_CU_FB_VID_IG","CU_FB_VID","FB_VID","138,338","0.93%","NA","NA%",NA,"$ 1174.71",NA,NA
"NAQNA","FA20_TR_CU_IG_DISP_IG","CU_IG_DISP","IG_DISP","172,402","0.36%","NA","NA%",NA,"$ 1424.31",NA,NA
"NAQNA","FA20_TR_CU_IG_ST_BR","CU_IG_ST","IG_ST","50,070","0.19%","NA","NA%",NA,"$ 230.6",NA,NA
"NAQNA","FA20_TR_CU_IG_VID_IG","CU_IG_VID","IG_VID","132,573","0.24%","NA","NA%",NA,"$ 680.79",NA,NA
"NAQNA","FA20_TR_CU_SC_VID_BR","CU_SC_VID","SC_VID","960,157","1.05%","NA","NA%",NA,"$ 3102.76",NA,NA
"NAQNA","FA20_TR_CU_TW_DISP_IG","CU_TW_DISP","TW_DISP","70,799","0%","NA","NA%",NA,"$ 2416.91",NA,NA
"NAQNA","FA20_TR_CU_YT_VID_BR","CU_YT_VID","YT_VID","129,737","0.08%","NA","NA%",NA,"$ 2411.08",NA,NA
"NAQNA","FA20_UG_HS_DBM_DISP_IG","HS_DBM_DISP","DBM_DISP","2,139,194","0.1%","NA","NA%",NA,"$ 26211.01",NA,NA
"NAQNA","FA20_UG_HS_FB_CAR_ER","HS_FB_CAR","FB_CAR","156,196","0.48%","NA","NA%",NA,"$ 685.44",NA,NA
"NAQNA","FA20_UG_HS_FB_DISP_ER","HS_FB_DISP","FB_DISP","662,113","0.46%","NA","NA%",NA,"$ 3846.36",NA,NA
"NAQNA","FA20_UG_HS_FB_DISP_IG","HS_FB_DISP","FB_DISP","693,509","0.41%","NA","NA%",NA,"$ 1668.01",NA,NA
"NAQNA","FA20_UG_HS_FB_VID_ER","HS_FB_VID","FB_VID","182,493","0.53%","NA","NA%",NA,"$ 1091.51",NA,NA
"NAQNA","FA20_UG_HS_FB_VID_IG","HS_FB_VID","FB_VID","174,595","0.61%","NA","NA%",NA,"$ 725.14",NA,NA
"NAQNA","FA20_UG_HS_IG_CAR_ER","HS_IG_CAR","IG_CAR","204,990","0.19%","NA","NA%",NA,"$ 1004.71",NA,NA
"NAQNA","FA20_UG_HS_IG_DISP_ER","HS_IG_DISP","IG_DISP","272,542","0.19%","NA","NA%",NA,"$ 1239.64",NA,NA
"NAQNA","FA20_UG_HS_IG_DISP_IG","HS_IG_DISP","IG_DISP","470,101","0.2%","NA","NA%",NA,"$ 3294.57",NA,NA
"NAQNA","FA20_UG_HS_IG_ST_BR","HS_IG_ST","IG_ST","192,996","0.14%","NA","NA%",NA,"$ 1059.72",NA,NA
"NAQNA","FA20_UG_HS_IG_VID_ER","HS_IG_VID","IG_VID","302,054","0.19%","NA","NA%",NA,"$ 1736.79",NA,NA
"NAQNA","FA20_UG_HS_IG_VID_IG","HS_IG_VID","IG_VID","286,962","0.17%","NA","NA%",NA,"$ 1591.54",NA,NA
"NAQNA","FA20_UG_HS_PIN_DISP_ER","HS_PIN_DISP","PIN_DISP","144,241","0.28%","NA","NA%",NA,"$ 636.61",NA,NA
"NAQNA","FA20_UG_HS_SC_VID_BR","HS_SC_VID","SC_VID","1,396,686","0.88%","NA","NA%",NA,"$ 3257.51",NA,NA
"NAQNA","FA20_UG_HS_TW_DISP_IG","HS_TW_DISP","TW_DISP","23,031","0%","NA","NA%",NA,"$ 912.05",NA,NA
"NAQNA","FA20_UG_HS_YT_VID_BR","HS_YT_VID","YT_VID","140,772","0.14%","NA","NA%",NA,"$ 2392.76",NA,NA
"NAQNA","FA20_UG_IN_PIN_DISP_BR","IN_PIN_DISP","PIN_DISP","415,348","0.52%","NA","NA%",NA,"$ 2989.53",NA,NA
"NAQNA","FA20_UG_TL_DBM_DISP_BR","TL_DBM_DISP","DBM_DISP","919,730","0.16%","NA","NA%",NA,"$ 10900.53",NA,NA
"NAQNA","FA20_UG_TL_DBM_DISP_IG","TL_DBM_DISP","DBM_DISP","825,448","0.12%","NA","NA%",NA,"$ 9999.79",NA,NA
"NAQNA","FA20_UG_TL_FB_CAR_BR","TL_FB_CAR","FB_CAR","201,731","0.33%","NA","NA%",NA,"$ 972.53",NA,NA
"NAQNA","FA20_UG_TL_FB_DISP_BR","TL_FB_DISP","FB_DISP","540,368","0.35%","NA","NA%",NA,"$ 1712.04",NA,NA
"NAQNA","FA20_UG_TL_FB_VID_BR","TL_FB_VID","FB_VID","709,876","0.55%","NA","NA%",NA,"$ 4161.2",NA,NA
"NAQNA","FA20_UG_TL_IG_CAR_BR","TL_IG_CAR","IG_CAR","261,598","0.23%","NA","NA%",NA,"$ 1489.25",NA,NA
"NAQNA","FA20_UG_TL_IG_DISP_BR","TL_IG_DISP","IG_DISP","270,733","0.18%","NA","NA%",NA,"$ 1485.02",NA,NA
"NAQNA","FA20_UG_TL_IG_VID_BR","TL_IG_VID","IG_VID","354,851","0.14%","NA","NA%",NA,"$ 2046.15",NA,NA
"NAQNA","FA20_UNI_ALL_BDN_VID_BR","ALL_BDN_VID","BDN_VID","27,925","7.14%","NA","NA%",NA,"$ 1117",NA,NA
"NAQNA","FA20_UNI_ALL_DBM_VID_BR","ALL_DBM_VID","DBM_VID","79,632","0.58%","NA","NA%",NA,"$ 2162.71",NA,NA
"NAQNA","FA20_UNI_ALL_YT_VID_BR","ALL_YT_VID","YT_VID","3,893","0.13%","NA","NA%",NA,"$ 86.94",NA,NA
"NAQNA","FA21_BUS_ALLR_DBM_DISP_IG","ALLR_DBM_DISP","DBM_DISP","17,383","0.25%","NA","NA%",NA,"$ 189.19",NA,NA
"NAQNA","FA21_CGCY_ALL_DBM_DISP_IG","ALL_DBM_DISP","DBM_DISP","724,693","0.12%","NA","NA%",NA,"$ 7039.5",NA,NA
"NAQNA","FA21_CGCY_ALL_FB_DISP_IG","ALL_FB_DISP","FB_DISP","893,376","0.31%","NA","NA%",NA,"$ 1714.21",NA,NA
"NAQNA","FA21_CGCY_ALL_IG_DISP_IG","ALL_IG_DISP","IG_DISP","2,899","0.45%","NA","NA%",NA,"$ 12.07",NA,NA
"NAQNA","FA21_CGCY_ALL_LI_DISP_IG","ALL_LI_DISP","LI_DISP","59,671","0.59%","NA","NA%",NA,"$ 2511.56",NA,NA
"NAQNA","FA21_DC_WA_DBM_DISP_IG","WA_DBM_DISP","DBM_DISP","1,496,320","0.09%","NA","NA%",NA,"$ 10632.59",NA,NA
"NAQNA","FA21_DC_WA_FB_VID_IG","WA_FB_VID","FB_VID","68,471","1.67%","NA","NA%",NA,"$ 608.02",NA,NA
"NAQNA","FA21_DC_WA_GM_TEXT_IG","WA_GM_TEXT","GM_TEXT","91,504","11.31%","NA","NA%",NA,"$ 3213.03",NA,NA
"NAQNA","FA21_DC_WA_IG_VID_IG","WA_IG_VID","IG_VID","876","0.23%","NA","NA%",NA,"$ 3.06",NA,NA
"NAQNA","FA21_DC_WA_LI_TEXT_IG","WA_LI_TEXT","LI_TEXT","9,216","57.79%","NA","NA%",NA,"$ 2116.63",NA,NA
"NAQNA","FA21_GR_ALL_DBM_DISP_IG","ALL_DBM_DISP","DBM_DISP","2,116,866","0.08%","NA","NA%",NA,"$ 16539",NA,NA
"NAQNA","FA21_GR_ALL_FB_VID_IG","ALL_FB_VID","FB_VID","1,395,908","0.8%","NA","NA%",NA,"$ 10447.43",NA,NA
"NAQNA","FA21_GR_ALL_IG_VID_IG","ALL_IG_VID","IG_VID","57,149","0.44%","NA","NA%",NA,"$ 473.36",NA,NA
"NAQNA","FA21_GR_ALL_LI_TEXT_IG","ALL_LI_TEXT","LI_TEXT","5,453","42.99%","NA","NA%",NA,"$ 817.7",NA,NA
"NAQNA","FA21_S_CGCY_DISP_ALL_IG","CGCY_DISP_ALL","DISP_ALL","546,054","0.26%","NA","NA%",NA,"$ 1155.45",NA,NA
"NAQNA","FA21_TR_CU_DBM_DISP_AG","CU_DBM_DISP","DBM_DISP","960,456","0.11%","NA","NA%",NA,"$ 6999.96",NA,NA
